seat_no,prn,centre,total_gradepoints,sgpi,status,year_of_admission,clg_id,gender,cgpa,marks_in_phy,marks_in_chem,marks_inmaths
5201541,2.02E+15,Mumbai,201,9.14,Successful ,2020,10,M,9.14,49,45,48
5201542,2.02E+15,Mumbai,178,8.09,Successful ,2020,10,M,8.09,39,48,39
5201543,2.02E+15,Mumbai,175,7.95,Successful ,2018,10,M,7.95,39,45,45
5201544,2.02E+15,Mumbai,166,7.55,Successful ,2019,10,M,7.55,47,46,48
5201545,2.02E+15,Mumbai,177,8.05,Successful ,2019,10,M,8.05,49,49,44
5201546,2.02E+15,Mumbai,161,7.32,Successful ,2019,10,F,7.32,38,46,37
5201547,2.02E+15,Mumbai,156,7.09,Successful ,2019,10,M,7.09,40,50,46
5201548,2.02E+15,Mumbai,186,8.45,Successful ,2020,10,M,8.45,41,47,47
5201549,2.02E+15,Mumbai,165,7.5,Successful ,2020,10,M,7.5,39,47,38
5201550,2.02E+15,Mumbai,0,0,Unsuccessful ,2019,10,F,0,41,46,48
5201551,2.02E+15,Mumbai,172,7.82,Successful ,2019,10,M,7.82,43,48,41
5201552,2.02E+15,Mumbai,0,0,Unsuccessful ,2019,10,M,0,46,46,42
5201553,2.02E+15,Mumbai,0,0,Unsuccessful ,2019,10,M,0,35,49,46
5201554,2.02E+15,Mumbai,147,6.68,Successful ,2019,10,M,6.68,40,49,48
5201555,2.02E+15,Mumbai,189,8.59,Successful ,2019,10,M,8.59,47,45,47
5201556,2.02E+15,Mumbai,172,7.82,Successful ,2019,10,F,7.82,44,49,43
5201557,2.02E+15,Mumbai,162,7.36,Successful ,2019,10,F,7.36,45,45,47
5201558,2.02E+15,Mumbai,199,9.05,Successful ,2019,10,F,9.05,39,48,50
5201559,2.02E+15,Mumbai,191,8.68,Successful ,2019,10,F,8.68,46,48,42
5201560,2.02E+15,Mumbai,146,6.64,Successful ,2019,10,M,6.64,50,47,48
5201561,2.02E+15,Mumbai,190,8.64,Successful ,2019,10,M,8.64,50,49,36
5201562,2.02E+15,Mumbai,187,8.5,Successful ,2020,10,F,8.5,47,49,38
5201563,2.02E+15,Mumbai,174,7.91,Successful ,2019,10,M,7.91,48,48,44
5201564,2.02E+15,Mumbai,173,7.86,Successful ,2019,10,M,7.86,45,49,48
5201565,2.02E+15,Mumbai,199,9.05,Successful ,2019,10,F,9.05,48,45,39
5201566,2.02E+15,Mumbai,175,7.95,Successful ,2019,10,M,7.95,49,48,48
5201567,2.02E+15,Mumbai,184,8.36,Successful ,2019,10,M,8.36,39,50,39
5201568,2.02E+15,Mumbai,191,8.68,Successful ,2019,10,M,8.68,45,47,38
5201569,2.02E+15,Mumbai,196,8.91,Successful ,2020,10,F,8.91,40,46,42
5201570,2.02E+15,Mumbai,196,8.91,Successful ,2019,10,F,8.91,41,46,36
